stage,name,status,seconds,class_name
dimension,morphosyntax-morphology-pronouns-personal-person-second,ok,0.00031046196818351746,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-person-third,ok,0.0002976246178150177,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-person,ok,0.0013015158474445343,CompositeDimension
dimension,morphosyntax-morphology-pronouns-personal-gender-male,ok,0.0013086125254631042,WordPerDictionary
dimension,morphosyntax-morphology-pronouns-personal-gender-female,ok,0.0010671019554138184,WordPerDictionary
dimension,morphosyntax-morphology-pronouns-personal-gender-neutral,ok,0.0020764805376529694,WordPerDictionary
dimension,morphosyntax-morphology-pronouns-personal-gender,ok,0.004844512790441513,CompositeDimension
dimension,morphosyntax-morphology-pronouns-personal-enclitics,ok,2.51084566116333e-06,EncliticsPersonalPronounsDictionary
dimension,morphosyntax-morphology-pronouns-personal,ok,0.007510669529438019,CompositeDimension
dimension,morphosyntax-morphology-pronouns-impersonal,ok,0.004176784306764603,WordPerDictionary
dimension,morphosyntax-morphology-pronouns-indefinite,ok,0.00031967461109161377,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-relative,ok,0.0003113262355327606,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-interrogative,ok,0.0003068968653678894,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-reciprocal,ok,0.00030243024230003357,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-demonstrative,ok,0.0003073662519454956,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-total,ok,0.0002992302179336548,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-negative,ok,0.00029010698199272156,POSTaggingTag
dimension,morphosyntax-morphology-pronouns,ok,0.014594491571187973,CompositeDimension
dimension,morphosyntax-morphology-prepositions-individual,ok,0.005002871155738831,WordPerDictionary
dimension,morphosyntax-morphology-prepositions-locutions,ok,0.009117905050516129,WordPerDictionary
dimension,morphosyntax-morphology-prepositions,ok,0.014458976686000824,CompositeDimension
dimension,morphosyntax-morphology-conjunctions-coordinating,ok,0.0003261081874370575,POSTaggingTag
dimension,morphosyntax-morphology-conjunctions-subordinating,ok,0.0003056153655052185,POSTaggingTag
dimension,morphosyntax-morphology-conjunctions,ok,0.0009289570152759552,CompositeDimension
dimension,morphosyntax-morphology-interjections,ok,0.0003375299274921417,POSTaggingTag
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-immediate-posteriority,ok,2.216547727584839e-06,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-recent-posteriority,ok,9.94652509689331e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal,ok,0.00032841041684150696,CompositeDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-habit,ok,1.989305019378662e-06,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-inminent,ok,1.0244548320770264e-06,PeriphrasisDimension
